X,Date,Project.Title,Agency,EIS.production.cost.included.on.front.cover...report...amount.or.state..no..,EJ.Community.present.,Low.Income.Community.Present.,Minority.Community.Present.,Are.there.disproportionate.impacts.,If.there.are.impacts..what.are.they.doing.to.mitigate.,Action.Type.,Decision.Type.,Notes,X.1,Total.Time.for.all.20..just.for.the.1st.20.don.t.record.how.long.the.1st.5.take.you.,Total.Time,X3.hours,X3hrs,X2.hours,X1.hr.30.min
1st 5,10/10/2014,75th Street Corridor Improvement Project,Federal Highway Administration,no,Yes,Yes,Yes,Yes,"Displacement: replacement housing, compensation for property to be aquired, benefits fir hardships of relocation and buisness reimbursement claims. Noise barriers, buffer zones, and noise insulation. Minimize vibration through rail grinding, wheel truing, vechicle reconditioning, wheel-flat detectors.",Transport.,Project,They mention that benefits outweigh the impacts.,NA,NA,NA,NA,NA,NA,NA
,5/10/2019,"Adams and Denver Counties, Colorado General Investigation Study",U.S. Army Corps of Engineers,no,Yes,Yes,Yes,No,n/a,Conservation/Restoration,Plan,"""the study area includes a larger proportion of minority and low income families than the City and County of Denver as a whole""",NA,NA,NA,NA,NA,NA,NA
,11/9/2018,ADOPTION - Calcasieu Pass Project,Department of Energy,no,Yes,Yes,Yes,No,n/a,Energy Gen/Trans,Project,,NA,NA,NA,NA,NA,NA,NA
,12/14/2018,ADOPTION - DART Cotton Belt Corridor Regional Rail Project,Federal Aviation Administration,no,Yes,Yes,Yes,No,n/a,Transport.,Project,,NA,NA,NA,NA,NA,NA,NA
,7/5/2019,ADOPTION - Feral Swine Damage Management: A National Approach,Natural Resource Conservation Service,no,Yes,Yes,Yes,No,n/a,Conserv/Restr,Plan,,NA,NA,NA,NA,NA,NA,NA
1st 20,7/20/2018,Alton Coal Tract Lease By Application,Bureau of Land Management,no,Yes,Yes,Yes,Yes,none,Mineral Resource Extract,Project,They say adverse impacts are unavoidable,NA,NA,NA,NA,NA,NA,NA
,5/16/2014,Amending the Atlantic Large Whale Take Reduction Plan Vertical Line Rule,National Oceanic and Atmospheric Administration,no,No Mention,No Mention,No Mention,No Mention of EJ,n/a,Conservation/Restoration,Plan,"The environmental justice section only defines environmental justice, they don't say specifically if there is one",NA,NA,NA,NA,NA,NA,NA
,10/14/2016,Amendment 18 to the Northeast Multispecies Fishery Management Plan,National Oceanic and Atmospheric Administration,no,No Mention,No Mention,No Mention,No mention of EJ,n/a,Bio Resource Use,Plan,,NA,NA,NA,NA,NA,NA,NA
,4/26/2013,Amendment 5a to the 2006 Consolidated Highly Migratory Species Fishery Management Plan,National Oceanic and Atmospheric Administration,no,Yes,Yes,Yes,No,n/a,Conservation/Restoration,Plan,,NA,NA,NA,NA,NA,NA,NA
,12/19/2014,Anacostia Park Wetlands and Resident Canada Goose Management Plan,National Park Service,no,Yes,Yes,Yes,No,n/a,Conservation/Restoration,Plan,,NA,NA,NA,NA,NA,NA,NA
,11/18/2016,Arapahoe Basin Ski Area Projects,Forest Service,no,Yes,Yes,Yes,No,n/a,Recreation,Project,,NA,NA,NA,NA,NA,NA,NA
,7/9/2021,Atlanta to Charlotte Rail Corridor Investment Plan,Federal Railroad Administration,no,Yes,Yes,Yes,Indeterminate,n/a,Transport,Plan,Says potential mitogation will depend on the nature of impacts that will be measured in a Tier 2 NEPA analysis,NA,NA,NA,NA,NA,NA,NA
,1/6/2017,Atlantic Sunrise Project,Federal Energy Regulatory Commission,no,Yes,Yes,Yes,No,n/a,Energy Gen/Trans,Project,,NA,NA,NA,NA,NA,NA,NA
,6/26/2020,Auburn State Recreation Area Preliminary General Plan and Auburn Project Lands Draft Resource Management Plan Final Environmental Impact Report/Environmental Impact Statement,Bureau of Reclamation,"$1,186,000",No Mention,No Mention,No Mention,No,n/a,Land Management Plan,Plan,They don't mention the EJ communities but do say there would be no disproportional impacts,NA,NA,NA,NA,NA,NA,NA
,8/23/2019,B.F. Sisk Dam Safety of Dams Modification Project,Bureau of Reclamation,"$2,700,000",Indeterminate,Indeterminate,Indeterminate,No,n/a,Water Works,Project,"They don't spefically mention an EJ community, they have a table saying there could be potential impacts using Alternative 3, so assume EJ communities? The impacts are not disproportional",NA,NA,NA,NA,NA,NA,NA
,1/22/2016,Baton Rouge Loop Tier 1,Federal Highway Administration,no,Indeterminate,Indeterminate,Indeterminate,Indeterminate,n/a,Transport.,Project,They say more research into EJ communities and possible effects will occur in a Tier 2 EIS.,NA,NA,NA,NA,NA,NA,NA
,5/6/2016,Bear River Narrows Hydroelectric Project P-12486 Final EIS,Federal Energy Regulatory Commission,no,No Mention,No Mention,No Mention,No mention of EJ,n/a,Energy Gen/Trans,Project,,NA,NA,NA,NA,NA,NA,NA
,5/29/2015,Bighorn Basin Proposed Resource Management Plan,Bureau of Land Management,no,Yes,Yes,Yes,No,n/a,Bio Rsrc Use,Plan,,NA,NA,NA,NA,NA,NA,NA
,6/5/2015,Biscayne National Park Final General Management Plan,National Park Service,no,Yes,Yes,Yes,No,n/a,Recreation,Plan,"They don't specifically talk about the minority or low income community but I assume there is one since it says ""there would be no effects to either a low income or minoty community""",NA,NA,NA,NA,NA,NA,NA
,7/19/2019,Black Mountain Vegetation Management Project,Forest Service,no,Yes,Yes,Yes,No,n/a,Conservation/Restoration,Project,^same situation,NA,NA,NA,NA,NA,NA,NA
,4/13/2013,Blue Ridge Parkway General Management Plan Implementation Virginia and North Carolina,National Park Service,no,Yes,Yes,Yes,No,n/a,Land Management Plan,Plan,,NA,NA,NA,NA,NA,NA,NA
,7/2/2021,Blue Valley Ranch Land Exchange,Bureau of Land Management,no,Yes,Yes,No,No,n/a,Land Exchange,Project,,NA,NA,NA,NA,NA,NA,NA
,8/15/2014,Bogue Banks Coastal Storm Damage Reduction,U.S. Army Corps of Engineers,no,Yes,No,Yes,No,n/a,Water Works,Project,,NA,NA,NA,NA,NA,NA,NA
,4/10/2020,Borderlands Wind Project Final Environmental Impact Statement and Proposed Resource Management Plan Amendment,Bureau of Land Management,"$493,000",No,No,No,No,n/a,Energy Gen/Trans,Project,,NA,NA,NA,NA,NA,NA,NA
,6/21/2013,Bunker Hill Groundwater Basin Riverside Corona Feeder Project,Bureau of Reclamation,no,No Mention,No Mention,No Mention,No Mention of EJ,n/a,Water Works,Project,,NA,NA,NA,NA,NA,NA,NA
2nd 20,3/30/2018,CALAM Monterey Peninsula Water Supply Project FEIR/FEIS,National Oceanic and Atmospheric Administration,no,Yes,Yes,Yes,No,n/a,Water Works,Project,,NA,NA,4 hours,NA,NA,NA,NA
,5/17/2019,Caldwell Canyon Mine and Reclamation Plan,Bureau of Land Management,no,No,No,No,No,n/a,Mineral Resource Extract,Project,,NA,NA,,NA,NA,NA,NA
,3/26/2021,Cape Hatteras National Seashore Sediment Management Framework,National Park Service,"$586,777",No Mention,No Mention,No Mention,No mention of EJ,n/a,Conservation/Restoration,Plan,,NA,NA,,NA,NA,NA,NA
,3/24/2016,Carcass Management During a Mass Animal Health Emergency,Animal and Plant Health Inspection Service,no,Yes,Yes,Yes,Yes,nothing specific,Conservation/Restoration,Plan,"They say: "" if a
low-income or minority community or children are identified as likely to
become impacted due to proximity of a carcass management facility or a
selected transportation route, then APHIS will conduct appropriate
outreach to the potentially impacted community, and incorporate
appropriate mitigation measures under the circumstances. """,NA,NA,,NA,NA,NA,NA
,8/12/2013,Casa Diablo IV Geothermal Development Project,Bureau of Land Management,no,No,No,No,No,n/a,Energy Gen/Trans,Project,,NA,NA,,NA,NA,NA,NA
,6/1/2018,Cattle Fever Tick Eradication Program - Tick Control Barrier,Animal and Plant Health Inspection Service,no,Yes,Yes,Yes,No,n/a,Law Enforcement/Security,Project,,NA,NA,,NA,NA,NA,NA
,8/16/2019,"Changes to Pacific Coast Groundfish Essential Fish Habitat Conservation Areas and Boundaries of the Trawl Gear Rockfish Conservation Area Final Environmental Impact Statement, Magnuson-Stevens Act Analysis, Regulatory Impact Review, and Regulatory Flexibility Analysis",National Marine Fisheries Service,no,Yes,Yes,Yes,No,n/a,Bio Resource Use,Plan,,NA,NA,,NA,NA,NA,NA
,7/1/2015,Chester County Stream and Riparian/Restoration Enhancement Project,Forest Service,no,Yes,Yes,Yes,No,n/a,Conservation/Restoration,Project,,NA,NA,,NA,NA,NA,NA
,6/7/2013,Chicago to Council Bluffs-Omaha Regional Passenger Rail System Planning Study Tier 1,Federal Railroad Administration,no,Yes,Yes,Yes,No,n/a,Transport.,Plan,,NA,NA,,NA,NA,NA,NA
,8/30/2019,Chugach National Forest Land Management Plan,Forest Service,no,Yes,Yes,Yes,No,n/a,Land Management Plan,Plan,,NA,NA,,NA,NA,NA,NA
,2/23/2018,City of San Diego Vernal Pool Habitat Conservation Plan EIS/EIR,Fish and Wildlife Service,no,Yes,Yes,Yes,No,n/a,Conservation/Restoration,Plan,,NA,NA,,NA,NA,NA,NA
,6/25/2015,Cle Elum Pool Raise Project - A Component of the Yakima River Basin Integrated Water Resource Management Plan,Bureau of Reclamation,no,Yes,Yes,Yes,No,n/a,Water Works,Plan,,NA,NA,,NA,NA,NA,NA
,8/31/2018,Coastal and Social Resiliency Initiatives for Tottenville Shoreline,Department of Housing and Urban Development,no,No,No,No,No,n/a,Water Works,Project,,NA,NA,,NA,NA,NA,NA
,7/1/2016,Coeur Rochester Mine Plan of Operations Amendment 10 and Closure Plan,Bureau of Land Management,no,No Mention,No Mention,No Mention,No mention of EJ,n/a,Mineral Resource Extract,Project,,NA,NA,,NA,NA,NA,NA
,7/2/2020,Combined Operational Plan,U.S. Army Corps of Engineers,no,Yes,Yes,Yes,No,n/a,Water Works,Project,,NA,NA,,NA,NA,NA,NA
,12/2/2014,Constitution Pipeline and Wright Interconnect Projects,Federal Energy Regulatory Commission,no,Yes,Yes,Yes,No,n/a,Energy Gen/Trans,Project,,NA,NA,,NA,NA,NA,NA
,6/28/2013,Construction and Operation of a Platoon Battle Course at Pohakuloa Training Area,United States Army,no,Yes,No,Yes,No,n/a,Military Ops.,Project,,NA,NA,,NA,NA,NA,NA
,9/26/2016,Continental Divide Creston Natural Gas Development Project,Bureau of Land Management,no,No,No,No,No,n/a,Mineral Rsrc Extract,Project,,NA,NA,,NA,NA,NA,NA
,7/31/2020,Converse County Oil and Gas Project,Bureau of Land Management,"$4,000,000",Yes,No,Yes,No,none,Mineral Rsrc Extract,Project,They say that any adverse effects would be temporary.,NA,NA,,NA,NA,NA,NA
,9/21/2018,Delta Islands and Levees Integrated Feasibility Study and Environmental Impact Statement,U.S. Army Corps of Engineers,no,No,No,No,No,n/a,Conservation/Restoration,Project,,NA,NA,,NA,NA,NA,NA
3rd 20,9/27/2013,Designation of the Atchafalaya River Bar Channel Ocean Dredged Material Disposal Site,Environmental Protection Agency,no,Indeterminate,Indeterminate,No,No,n/a,Water Works,Project,They say 18.5% of the population is under the poverty line but don't have a parameter for what percentage is considered a low-income community. ,NA,NA,NA,NA,NA,NA,NA
,1/10/2020,Domestic Sheep Grazing Permit Renewals,Bureau of Land Management,"$385,000",No,No,No,No,n/a,Bio Resource Use,Legislative,,NA,NA,NA,NA,NA,NA,NA
,7/1/2016,Dominguez-Escalante National Conservation Area Proposed Resource Management Plan,Bureau of Land Management,no,Yes,Yes,Yes,Yes,"Not specific, they say they will mitigate as much as possible, but don't say what exactly they will do. ",Land Management Plan,Plan,"They do list all the univoidable impacts, saying they will ""mitigate as much as possible""",NA,NA,NA,NA,NA,NA,NA
,3/19/2015,Double-crested Cormorant Management Plan to Reduce Predation of Juvenile Salmonids in the Columbia River Estuary,U.S. Army Corps of Engineers,no,No Mention,No Mention,No Mention,No mention of EJ,n/a,Conservation/Restoration,Project,,NA,NA,NA,NA,NA,NA,NA
,4/19/2019,"Eagle LNG Partners Jacksonville, LLC Jacksonville Project",Federal Energy Regulatory Commission,no,No,No,No,No,n/a,Energy Gen/Trans,Project,,NA,NA,NA,NA,NA,NA,NA
,2/27/2015,East Deer Lodge Valley Landscape Restoration Management,Forest Service,no,No,No,No,No,n/a,Conservation/Restoration,Project,,NA,NA,NA,NA,NA,NA,NA
,8/17/2018,East Hills Project,Forest Service,no,No Mention,No Mention,No Mention,No,n/a,Conservation/Restoration,Project,"Only mention: ""With the implementation of any of the alternatives, there would be no disproportionately
high adverse human health or environmental effects on minority or low-income populations. The actions
would occur in a remote area and nearby communities would mainly be affected by positive economic
impacts"" ",NA,NA,NA,NA,NA,NA,NA
,9/13/2019,East Side Coastal Resiliency (ESCR),"City of New York, Office of Management and Budget",no,Indeterminate,Indeterminate,Indeterminate,No,n/a,Water Works,Project,"According to the Table of Contents, Environmental Justice is in section 5.11 which is not uploaded on NEPAccess.",NA,NA,NA,NA,NA,NA,NA
,7/29/2016,Eastern Interior Proposed Resource Management Plan,Bureau of Land Management,no,Yes,No,Yes,No,n/a,Land Mgmt Plan,Plan,,NA,NA,NA,NA,NA,NA,NA
,12/13/2016,Energy Gateway South Transmission Project,Bureau of Land Management,no,Indeterminate,No Mention,No Mention,No,n/a,Energy Gen/Trans,Project,"No mention of a minority or low income community, but says no EJ communities will be affected.",NA,NA,NA,NA,NA,NA,NA
,5/28/2021,Enlargement of Monument Reservoir No. 1 Project,Forest Service,no,No Mention,No Mention,No Mention,No Mention of EJ,n/a,Water Works,Project,,NA,NA,NA,NA,NA,NA,NA
,4/5/2013,Eufaula Lake Shoreline Management Plan Revision and Master Plan Supplement,U.S. Army Corps of Engineers,no,Indeterminate,Indeterminate,Indeterminate,Indeterminate,n/a,Land Mgmt Plan,Plan,"According to the Table of Contents, Environmental Justice is in section 5.4.22 which is not uploaded on NEPAccess.",NA,NA,NA,NA,NA,NA,NA
,12/4/2020,F-35A Wing Beddown at Tyndall AFB and MQ-9 Wing Beddown at Tyndall AFB or Vandenberg AFB,United States Air Force,no,No,No,No,No,n/a,Military Ops.,Project,,NA,NA,NA,NA,NA,NA,NA
,5/15/2020,Final Environmental Impact Statement/Supplemental Environmental Impact Report for the Proposed Upper Santa Ana River Wash Habitat Conservation Plan,Fish and Wildlife Service,no,No,No,No,No,n/a,Conservation/Restoration,Plan,,NA,NA,NA,NA,NA,NA,NA
,8/2/2019,Final Programmatic Environmental Impact Statement Addressing the Issuance of Incidental Take Permits for Four Wind Energy Projects in Hawai'i,Fish and Wildlife Service,"$700,000",Indeterminate,Indeterminate,Indeterminate,No,n/a,Energy Gen/Trans,Program,"Says: As the projects are already constructed and
spread across the islands, the socioeconomic impacts of the wind facilities have already been
analyzed and no new resource impacts are expected from the current alternatives. Other than that does not mention any ej groups.",NA,NA,NA,NA,NA,NA,NA
,10/23/2020,Final Resource Management Plan Amendments/Environmental Impact Statement Wyoming Pipeline Corridor Initiative,Bureau of Land Management,no,Yes,Yes,Yes,Yes,tbd,Energy Gen/Trans,Plan,Says the mitigation meausres will be determined in the ROD.,NA,NA,NA,NA,NA,NA,NA
,4/28/2016,Fire Island National Seashore Final White-tailed Deer Management Plan,National Park Service,no,Indeterminate,Indeterminate,Indeterminate,No,n/a,Conservation/Restoration,Plan,They say the topic of EJ was dismissed because during scoping they found no impacts on Ej communities. It is unclear if there are EJ communities in the area though.,NA,NA,NA,NA,NA,NA,NA
,8/4/2016,Flint Foothills Vegetation Management Project,Forest Service,no,No,No,No,Indeterminate,n/a,Conservation/Restoration,Project,Doesn't mention if there is disproportional impacts.,NA,NA,NA,NA,NA,NA,NA
,2/26/2016,Floating Houses Policy Review,Tennessee Valley Authority,no,No,No,No,No,n/a,Recreation,Policy,,NA,NA,NA,NA,NA,NA,NA
,6/24/2014,Fort Raleigh National Historic Site General Management Plan,National Park Service,no,Indeterminate,Indeterminate,Indeterminate,No,n/a,Land Management Plan,Plan,"Says the issue of EJ was dismissed because there was no disproportional impacts, doesn't mention any specific EJ communities. ",NA,NA,NA,NA,NA,NA,NA
4th 20,1/17/2014,Fowler Ridge Wind Farm Final EIS,Fish and Wildlife Service,no,Yes,Yes,Yes,No,n/a,Conservation/Restoration,Plan,,NA,NA,NA,NA,NA,NA,NA
,11/14/2014,Generic - License Renewal of Nuclear Plants Supplement 51 Regarding Callaway Plant Unit 1,Nuclear Regulatory Commission,no,Yes,Indeterminate,No,No,n/a,Energy Gen/Trans,Project,"They metion low income communities, but they don't have a threshold.",NA,NA,NA,NA,NA,NA,NA
,8/14/2015,Goose Project,Forest Service,no,Indeterminate,Indeterminate,Indeterminate,No,n/a,Bio Resource Use,Project,"They say there will be no disproportionate impacts to either low-income or minority communities but they don't go into detail, saying no impacts is the only mention.",NA,NA,NA,NA,NA,NA,NA
,5/9/2014,Grand Parkway Segments H and I-1,Federal Highway Administration,no,No,No,No,No,n/a,Transport.,Project,,NA,NA,NA,NA,NA,NA,NA
,5/16/2016,Greater Sage Grouse Bi-State Distinct Population Segment Forest Plan Amendment,Forest Service,no,No,No,No,No,n/a,Conservation/Restoration,Plan,"No numbers or thresholds, says ""For the purpose of screening for environmental justic concerns, minority and low-income populations are not a concern""",NA,NA,NA,NA,NA,NA,NA
,8/2/2019,"Gulf Intracoastal Waterway, Brazos River Floodgates and Colorado River Locks, Texas",U.S. Army Corps of Engineers,no,Indeterminate,Indeterminate,Indeterminate,No,n/a,Water Works,Project,Says no impacts but doesn't specify any information about EJ communities.,NA,NA,NA,NA,NA,NA,NA
,4/26/2019,Gulf LNG Liquefaction Project,Federal Energy Regulatory Commission,no,Yes,Yes,Yes,No,n/a,Energy Gen/Trans,Project,,NA,NA,NA,NA,NA,NA,NA
,6/5/2015,Gulf Regional Airspace Strategic Initiative Landscape Initiative,United States Air Force,no,Indeterminate,Indeterminate,No,No,n/a,Military Ops.,Project,"Minority population less than 40%, they don't define the low income population threshold.",NA,NA,NA,NA,NA,NA,NA
,3/11/2016,Hawaii Volcanoes National Park Management Plan,National Park Service,no,No Mention,No Mention,No Mention,No Mention of EJ,n/a,Land Management Plan,Plan,"Says ""The devastating effects of the park’s air tours
and aviation operations are centered over
the socially and economically disadvantaged
population of the District of Puna and the
Keaukaha Hawaiian Homesteads. Yet the
topic of Environmental Justice was dismissed
from this analysis. This is another violation of
NEPA requirements.”",NA,NA,NA,NA,NA,NA,NA
,3/6/2015,Heavenly Epic Discovery Project,Forest Service,no,No Mention,No Mention,No Mention,No mention of EJ,n/a,Recreation,Project,,NA,NA,NA,NA,NA,NA,NA
,12/16/2016,Heeia National Estuarine Research Reserve,National Oceanic and Atmospheric Administration,no,Yes,No,Yes,No,n/a,Conservation/Restoration,Program,,NA,NA,NA,NA,NA,NA,NA
,3/6/2020,Huckleberry Landscape Restoration Project,Forest Service,no,Indeterminate,Indeterminate,No,Indeterminate,n/a,Conserv/Restr,Project,"Mentions low income groups but doesn't have a threshold, says people below the poverty line are more susceptible for disproportionate effects, but doesn't say if they do face them or not.",NA,NA,NA,NA,NA,NA,NA
,9/18/2020,Hungry Ridge Restoration Project,Forest Service,no,Indeterminate,Indeterminate,Indeterminate,No,n/a,Conservation/Restoration,Project,Says no impacts but doesn't give any details about any EJ community.,NA,NA,NA,NA,NA,NA,NA
,9/6/2019,Hycroft Mine Phase II Expansion Project,Bureau of Land Management,"$208,715",No Mention,No Mention,No Mention,No Mention of EJ,n/a,Mineral Rsrc Extract,Project,,NA,NA,NA,NA,NA,NA,NA
,3/27/2020,I-15 Milepost 11 Interchange,Utah Department of Transportation,no,No,No,No,No,n/a,Transport.,Project,,NA,NA,NA,NA,NA,NA,NA
,1/15/2016,I-70 East,Federal Highway Administration,no,Yes,Yes,Yes,Yes,CDOT will provide funding to the Community Resource Housing Develpment Corporation to assist in residential and buisness displacement. CDOT will provide 2 portable or window-mointed air contditioning units to residents close to the highway and assist in potential high utility costs. CDOT will provide contributions to existsing programs to facilitate access to fresh food. ,Transport.,Project,"Says when mitigation efforts are put into effect, there should be no disproportionate impacts. ",NA,NA,NA,NA,NA,NA,NA
,8/4/2017,I-80 and State Street Interchange,Federal Highway Administration,no,No,No,No,No,n/a,Transport.,Project,,NA,NA,NA,NA,NA,NA,NA
,12/13/2013,Interstate 64 Peninsula from Interstate 95 in the City of Richmond to Interstate 664,Federal Highway Administration,no,Yes,Yes,Yes,No,n/a,Transport.,Project,,NA,NA,NA,NA,NA,NA,NA
,10/24/2014,Interstate 87 (I-87) Exit 4 Access Improvements,Federal Highway Administration,no,No,No,No,No,n/a,Transport.,Project,,NA,NA,NA,NA,NA,NA,NA
,10/9/2015,Jordan Cove Energy and Pacific Connector Gas Pipeline Project,Federal Energy Regulatory Commission,no,Yes,Yes,No,No,n/a,Mineral Resource Extract,Project,,NA,NA,NA,NA,NA,NA,NA
5th 20,3/7/2014,Kaibab National Forest Plan Revision,Forest Service,no,Yes,Yes,Yes,Yes,nothing,Land Management Plan,Plan,Disproportionate Impact is EJ communities being more effected by smoke from perscribed burns.,NA,NA,NA,NA,NA,NA,NA
,10/20/2017,Kansas River Commercial Dredging Final Environmental Impact Statement,U.S. Army Corps of Engineers,no,No,No,No,No,n/a,Water Works,Project,,NA,NA,NA,NA,NA,NA,NA
,6/22/2018,KC-46A Main Operating Base #4 (MOB 4) Beddown,United States Air Force,no,Indeterminate,Indeterminate,Indeterminate,No,n/a,Military Ops.,Plan,"There is only one small section of a table saying no disproportionate impacts to any EJ communities, and no mitigation is necessary.",NA,NA,NA,NA,NA,NA,NA
,3/19/2021,LaGuardia Access Improvement Program,Federal Aviation Administration,no,Yes,No,Yes,Yes,"Emission control devices, contractor must use construction equipment with engines that meet Tier 440 emission standards, require that a consultant, independent of the DBOM contractor and paid for by the Port Authority, monitor particulate matter within and at the perimeter of the active construction areas, and verify adherence to construction equipment requirements for the duration of construction.",Transport.,Program,Impacts include decreased air quality.,NA,NA,NA,NA,NA,NA,NA
,9/30/2016,Lambert Houses Redevelopment,Department of Housing and Urban Development,no,Yes,Yes,Yes,No,n/a,Gov. Facilities,Project,,NA,NA,NA,NA,NA,NA,NA
,7/28/2017,Land Acquisition and Airspace Establishment to Support Large-Scale Marine Air Ground Task Force Live-Fire and Maneuver Training at Marine Corps Air Ground Combat Center,Federal Aviation Administration,no,No,No,No,No,n/a,Gov. Facilities,Plan,Corrected,NA,NA,NA,NA,NA,NA,NA
,10/9/2020,Lee Canyon EIS,Forest Service,no,No,No,No,No,n/a,Recreation,Plan,Corrected,NA,NA,NA,NA,NA,NA,NA
,10/12/2018,"Little Colorado River at Winslow, Navajo County, Arizona, Flood Risk Management Project, Integrated Feasibility Report and Environmental Impact Statement",U.S. Army Corps of Engineers,no,No,Indeterminate,No,No,n/a,Water Works,Project,No threshold for low-income community,NA,NA,NA,NA,NA,NA,NA
,8/21/2018,Lobert Restoration Project,Forest Service,no,Indeterminate,Indeterminate,Indeterminate,No,n/a,Conservation/Restoration,Project,"Says ""data on low income and minority communities is unavailbale""",NA,NA,NA,NA,NA,NA,NA
,3/29/2019,Lolo Insect & Disease Project,Forest Service,no,Indeterminate,Indeterminate,Indeterminate,No,n/a,Conserv/Restr,Project,Says no disproportionate impacts but no information about the EJ groups.,NA,NA,NA,NA,NA,NA,NA
,9/16/2016,Los Padres Tamarisk Removal,Forest Service,no,No Mention,No Mention,No Mention,No mention of EJ,n/a,Conservation/Restoration,Project,"Says ""Review of environmental compliance, project mitigations to address possible impacts, and a broad outreach of the public, Indian tribes, and agencies has been accomplished for this project."" and that's all.",NA,NA,NA,NA,NA,NA,NA
,11/20/2015,Magnolia LNG and Lake Charles Expansion Projects,Federal Energy Regulatory Commission,no,No,No,No,No,n/a,Mineral Resource Extract,Project,,NA,NA,NA,NA,NA,NA,NA
,5/29/2015,Miles City Field Office Proposed Resource Management Plan,Bureau of Land Management,no,Yes,Indeterminate,Yes,No,n/a,Conservation/Restoration,Plan,Says the census groups of minority would overlap with low-income but doesn't show numbers.,NA,NA,NA,NA,NA,NA,NA
,2/14/2020,Missoula Proposed Resource Management Plan and Final EIS,Bureau of Land Management,$3.1 mil,Yes,Yes,Yes,No,n/a,Conservation/Restoration,Plan,,NA,NA,NA,NA,NA,NA,NA
,2/21/2020,Moneta Divide Natural Gas and Oil Development Project,Bureau of Land Management,"$6,400,000",Yes,Yes,Yes,Yes,n/a,Mineral Resource Extract,Project,,NA,NA,NA,NA,NA,NA,NA
,8/14/2015,Monroe Mountain Aspen Ecosystems Restoration Project,Forest Service,no,No Mention,No Mention,No Mention,No mention of EJ,n/a,Conservation/Restoration,Project,,NA,NA,NA,NA,NA,NA,NA
,7/21/2017,Multiple Reservoir Land Management Plans,Tennessee Valley Authority,no,No,No,No,No,n/a,Land Management Plan,Plan,,NA,NA,NA,NA,NA,NA,NA
,10/26/2018,Nevada Test and Training Range Land Withdrawal Legislative Environmental Impact Statement,United States Air Force,no,Yes,No,Yes,No,n/a,Military Ops.,Project,,NA,NA,NA,NA,NA,NA,NA
,9/12/2014,New Special-Use Permits for Recreation Residences on the Safford Ranger District,Forest Service,no,Indeterminate,Indeterminate,Indeterminate,No,n/a,Recreation,Project,No disproportionate impacts but no details on the EJ communities.,NA,NA,NA,NA,NA,NA,NA
