X,Date,Project.Title,Agency,EIS.production.cost.included.on.front.cover...report...amount.or.state..no..,EJ.Community.present.,Low.Income.Community.Present.,Minority.Community.Present.,Are.there.disproportionate.impacts.,If.there.are.impacts..what.are.they.doing.to.mitigate.,Action.Type.,Decision.Type.,Notes,X.1,Total.Time.for.all.20..just.for.the.1st.20.don.t.record.how.long.the.1st.5.take.you.,Total.Time,X3.hours,X3hrs,X2.hours,X1.hr.30.min
,6/2/2016,Next NGA West Campus in the Greater St. Louis Metropolitan Area,National Geospatial-Intelligence Agency,no,Yes,Yes,No,Yes,"SLDC/LCRA will acquire
property consistent with State of
Missouri and City’s relocation
policy and the federal Uniform
Relocation Assistance and Real
Property Acquisition Policies Act
of 1970. ",Gov. Facilities,Project,,NA,NA,NA,NA,NA,NA,NA
6th 20,12/9/2016,Nexus Gas Transmission Project and Texas Eastern Appalachian Lease Project,Federal Energy Regulatory Commission,no,Yes,Yes,No,No,n/a,Mineral Resource Extract,Project,,NA,NA,NA,NA,NA,NA,NA
,8/27/2018,Normally Pressured Lance Natural Gas Development Project,Bureau of Land Management,no,No,No,No,No,n/a,Mineral Resource Extract,Project,,NA,NA,NA,NA,NA,NA,NA
,2/5/2016,North and West Big Hole Allotment Mangement Plans,Forest Service,no,Yes,Yes,No,Yes,none,Conservation/Restoration,Plan,They say disproportionate impacts to low-income people would be less jobs and effect on the economy.,NA,NA,NA,NA,NA,NA,NA
,10/28/2016,"North Cumberland Wildlife Management Area, Tennessee Lands Unsuitable for Mining Petition",Office of Surface Mining Reclamation and Enforcement,no,No,No,No,No,n/a,Mineral Resource Extract,Policy,,NA,NA,NA,NA,NA,NA,NA
,5/29/2015,Northwest Colorado Greater Sage-Grouse Proposed Land Use Plan Amendments,Bureau of Land Management,no,No,No,No,Indeterminate,n/a,Conservation/Restoration,Plan,"Says no official EJ communites were found, but that it is possible that smaller communities closer to the site may be effected by job losses.",NA,NA,NA,NA,NA,NA,NA
,3/28/2014,Ochoco Summit Trail System,Forest Service,no,Indeterminate,Indeterminate,Indeterminate,No,n/a,Conservation/Restoration,Project,Says no disproportionate imapcts but not whether or not there are EJ communities. ,NA,NA,NA,NA,NA,NA,NA
,5/4/2018,Olympic National Park Mountain Goat Management Plan,National Park Service,no,No,No,No,No,n/a,Bio Resource Use,Plan,,NA,NA,NA,NA,NA,NA,NA
,12/31/2015,Panoche Valley Solar Project,U.S. Army Corps of Engineers,no,No,No,No,No,n/a,Energy Gen/Trans,Project,,NA,NA,NA,NA,NA,NA,NA
,4/14/2017,PennEast Pipeline Project,Federal Energy Regulatory Commission,no,No,No,No,No,n/a,Energy Gen/Trans,Project,,NA,NA,NA,NA,NA,NA,NA
,3/13/2015,Pinon Canyon Maneuver Site (PCMS) Training and Operations,United States Army,no,No,No,No,No,n/a,Military Ops.,Project,,NA,NA,NA,NA,NA,NA,NA
,11/13/2015,Plains and Eastern Clean Line Transmission Line Project,Department of Energy,no,Yes,Yes,Yes,No,n/a,Energy Gen/Trans,Project,,NA,NA,NA,NA,NA,NA,NA
,5/25/2018,Plan Revision for the Coconino National Forest,Forest Service,no,No,No,No,No,n/a,Land Management Plan,Plan,,NA,NA,NA,NA,NA,NA,NA
,9/18/2020,Point Reyes National Seashore General Management Plan Amendment,National Park Service,"$1,472,000",No Mention,No Mention,No Mention,No Mention of EJ,n/a,Land Management Plan,Plan,,NA,NA,NA,NA,NA,NA,NA
,2/14/2020,Port Bienville Railroad Combined Final Environmental Impact Statement and Record of Decision,Federal Railroad Administration,no,Yes,Yes,Yes,No,n/a,Transport.,Project,,NA,NA,NA,NA,NA,NA,NA
,11/25/2016,Port Delfin Project Deepwater Port Application,U.S. Coast Guard,no,Yes,Yes,Yes,No,n/a,Mineral Rsrc Extract,Project,"EJ communities both make up 50% of the population but they also mention that it is not ""meaningfully greater"" than the rest of the population?",NA,NA,NA,NA,NA,NA,NA
,11/25/2016,Port Delfin Project Deepwater Port Application,U.S. Coast Guard,no,Yes,Yes,Yes,No,n/a,Mineral Resource Extract,Project,Repeat of line 16?,NA,NA,NA,NA,NA,NA,NA
,12/29/2014,Portageville Bridge Project,Federal Highway Administration,no,Indeterminate,Indeterminate,Indeterminate,No,n/a,Transport.,Project,Mentions no impacts but no info on EJ communities specifically.,NA,NA,NA,NA,NA,NA,NA
,12/20/2017,Power Fire Reforestation,Forest Service,no,Indeterminate,Indeterminate,Indeterminate,No,n/a,Conservation/Restoration,Project,^,NA,NA,NA,NA,NA,NA,NA
,7/14/2017,PROGRAMMATIC - Mouse River Enhanced Flood Protection Project,U.S. Army Corps of Engineers,no,No,No,No,No,n/a,Water Works,Program,,NA,NA,NA,NA,NA,NA,NA
,2/14/2020,Programmatic EIS for Fuel Breaks in the Great Basin,Bureau of Land Management,"$2,300,000",Yes,Yes,Yes,Indeterminate,n/a,Conservation/Restoration,Program,"There are sites in different states, some of which have Ej communities, and they say effects would depend on the site.",NA,NA,NA,NA,NA,NA,NA
7th 20,8/23/2019,"Project No. DPI-0030(005), I-10 Mobile River Bridge and Bayway, Mobile and Baldwin Counties, Alabama",Federal Highway Administration,no,Yes,Yes,Yes,Yes,"They have ""implemented an EJ outreach program using a veriety of types of activities"" They also mention that a complete list of mitigation would be in the ROD.",Water Works,Project,,NA,NA,5 hours,NA,NA,NA,NA
,11/28/2014,Proposed 2013 Master Plan National Institutes of Health Bethesda Campus,National Institute of Health,no,No,No,No,No,,Gov. Facilities,Plan,,NA,NA,,NA,NA,NA,NA
,4/19/2013,Proposed Habitat Conservation Plan and Incidental Take Permit for the Indiana Bat (Myotis sodalis) for the Buckeye Wind Power Project,Fish and Wildlife Service,no,No,No,No,No,,Energy Gen/Trans,Project,,NA,NA,,NA,NA,NA,NA
,9/13/2013,Proposed Issuance of an Incidental Take Permit For the Beech Ridge Energy Wind Project Habitat Conservation Plan,Fish and Wildlife Service,no,No,No,No,No,,Energy Gen/Trans,Plan,,NA,NA,,NA,NA,NA,NA
,10/12/2018,Proposed Modernization and Expansion of Townsend Bombing Range,United States Navy,no,No,No,No,No,,Military Ops.,Project,,NA,NA,,NA,NA,NA,NA
,4/18/2014,Proposed New Bridge Across the Manatee River Mile 15.0 at Parrish,U.S. Coast Guard,no,Yes,No,Yes,No,,Transport.,Project,,NA,NA,,NA,NA,NA,NA
,9/2/2016,Proposed Resource Management Plans for the Beaver Dam Wash and Red Cliffs National Conservation Areas; Proposed Amendment to the St. George Field Office Resource Management Plan,Bureau of Land Management,no,No Mention,No Mention,No Mention,No Mention of EJ,,Land Management Plan,Plan,,NA,NA,,NA,NA,NA,NA
,4/17/2015,Provo River Delta Restoration Project,Department of the Interior,no,Indeterminate,Indeterminate,Indeterminate,No,They say there will be no adverse impacts on EJ communities but they do not go into detail about these communities. Indeterminate becuase they don't define any thresholds or detail population stats. ,Conservation/Restoration,Project,,NA,NA,,NA,NA,NA,NA
,9/6/2013,Purple Line Draft Section 4(f) Evaluation,Federal Transit Administration,no,Yes,Yes,Yes,Yes,They list a number of potential adverse effects to EJ communities. They say the project will offset those impacts with benefits. They say they will develop appropriuate mitigation measures but don't say what.,Transport.,Project,,NA,NA,,NA,NA,NA,NA
,6/29/2018,Pyramid Highway/US 395 Connection,Federal Highway Administration,no,Yes,Yes,No,Yes,"Provide noise barriers, provide screening walls, provide landscaping and aesthetic treatments, provide improved sinage, provide/improve bike lanes and sidewalks, provide bus turnouts and amenities, provide new bus service",Transport.,Project,,NA,NA,,NA,NA,NA,NA
,12/20/2013,Pyramid Way and McCarran Boulevard Intersection Improvement Project and Record of Decision,Federal Highway Administration,no,Indeterminate,No,Indeterminate,Indeterminate,"""Under the Preferred Alternative, the proposed project would directly and adversely impact minority population households because they are located within Census Block Groups that would experience displacements; however, these Block Groups contain more than two-thirds
non-minority residents. Therefore, it is not expected that displacements would be predominantly
experienced by minority population households or that they would be appreciably more severe or
greater in magnitude than the adverse effects involving displacements that would be experienced
by non-minority population households""",Transport.,Project,,NA,NA,,NA,NA,NA,NA
,3/6/2015,Redlands Passenger Rail Project,Federal Transit Administration,no,Yes,Yes,Yes,Yes,"prepare traffic management plan, screening of construction staging areas, enhance exterior apperance of structual facilities, tree replacement, sound barrier screening and surface treatments, minimze exterior lighting in adjacent uses, employ noise-reducing measures during construction, prepare a community notification plan for project construction, design the project to be quiet zone ready, construct sound barriers, use ballast mats, resiliently supported ties, or measures of comparable effectiveness on portions of the rail near sensiitive receivers",Transport.,Project,,NA,NA,,NA,NA,NA,NA
,6/14/2019,"Regulation of the Importation, Interstate Movement, and Intrastate Movement of Plant Pests",Animal and Plant Health Inspection Service,no,Indeterminate,No Mention,No Mention,No,,Conservation/Restoration,Policy,"Say adverse impacts are not expect to occur. Mentions what EJ is several times, but doesn't say specifically of there are EJ communities?",NA,NA,,NA,NA,NA,NA
,1/24/2014,Remote Vaccination Program to Reduce the Prevalence of Brucellosis in Yellowstone Bison,National Park Service,no,No,No,No,No,,Conservation/Restoration,Program,,NA,NA,,NA,NA,NA,NA
,2/14/2014,RES Americas Moapa Solar Energy Center,Bureau of Indian Affairs,no,Yes,Indeterminate,Yes,No,,Energy Gen/Trans,Project,"They talked about native american communties and them being counted as an EJ group, but I didn't really see a section specifying if low-income communities existed here",NA,NA,,NA,NA,NA,NA
,5/3/2013,Rim Lakes Forest Restoration Project Amendment to the Apache-Sitgreaves National Forests Land and Resource Management Plan,Forest Service,no,No Mention,No Mention,No Mention,No mention of EJ,,Conservation/Restoration,Project,,NA,NA,,NA,NA,NA,NA
,3/7/2014,Rockaway Delivery Lateral and Northeast Connector Projects,Federal Energy Regulatory Commission,no,No,No,No,No,,Energy Gen/Trans,Project,,NA,NA,,NA,NA,NA,NA
,9/4/2015,Rocky Mountain Arsenal National Wildlife Refuge,Fish and Wildlife Service,no,No Mention,No Mention,No Mention,No mention of EJ,,Conservation/Restoration,Plan,,NA,NA,,NA,NA,NA,NA
,11/16/2018,Sacramento Peak Observatory,National Science Foundation,no,No,No,No,No,,Gov. Facilities,Plan,,NA,NA,,NA,NA,NA,NA
,7/10/2015,San Francisco Veterans Affairs medical Center Long Range Development Plan,Department of Veteran Affairs,no,Yes,Yes,Yes,No,,Gov. Facilities,Plan,,NA,NA,,NA,NA,NA,NA
8th 20,8/9/2019,San Gabriel River Confluence With Cattle Canyon Improvements Project,Forest Service,no,No,No,No,No,,Recreation,Project,"Says the project is not located in an area with a high number of minority or low income communities, but does not specify numbers. ",NA,NA,NA,NA,NA,NA,NA
,7/8/2016,Seminole Tribe of Florida Fee to Trust,Bureau of Indian Affairs,no,No,No,No,No,,Land Exchange,Plan,,NA,NA,NA,NA,NA,NA,NA
,7/26/2019,Sevier Playa Potash Project,Bureau of Land Management,"$3,086,000",No,No,No,No,,Mineral Resource Extract,Project,EJ was eliminated from the EIS because it was found already that there was no EJ community in the area.,NA,NA,NA,NA,NA,NA,NA
,4/4/2014,Sierrita Pipeline Project,Federal Energy Regulatory Commission,no,No,No,No,No,,Energy Gen/Trans,Project,,NA,NA,NA,NA,NA,NA,NA
,10/4/2013,South Coast Rail Project,U.S. Army Corps of Engineers,no,Indeterminate,Indeterminate,Indeterminate,Yes,"new traffic signals, traffic signal timing adjustment and addition of turning lanes.",Transport.,Project,"It differs depending on the project site area because there are multiple. They all have a high concentration of EJ communities surrounding them, but only some meet the thresholds to be identified as EJ communities. ",NA,NA,NA,NA,NA,NA,NA
,9/25/2015,South San Francisco Bay Shoreline Phase I,U.S. Army Corps of Engineers,no,Yes,Indeterminate,Yes,No,,Water Works,Project,""" However, the margins of error for the data estimates presented in the American Community Survey introduce uncertainty. Therefore, the presence of a low-income population cannot be verified with the available data.""",NA,NA,NA,NA,NA,NA,NA
,6/19/2020,"Southern Gardens Citrus Nursery, LLC Permit to Release Genetically Engineered Citrus tristeza virus",Animal and Plant Health Inspection Service,no,Indeterminate,Indeterminate,Indeterminate,No,,Economic and Urban Dev./Commerce,Project,"Says no impacts, but does not go into any detail on the EJ communities numbers or if they exist. ",NA,NA,NA,NA,NA,NA,NA
,12/3/2015,Southwest Jemez Mountains Landscape Restoration Project,Forest Service,no,Yes,Yes,Yes,Yes,"consult wih local tribes, develop mitigation as problems arise",Conservation/Restoration,Project,The main problem is smoke from perscribed fires.,NA,NA,NA,NA,NA,NA,NA
,6/6/2014,SpaceX Texas Launch Site,Federal Aviation Administration,no,Indeterminate,Indeterminate,Indeterminate,No,,Energy Gen/Trans,Project,"A little confusing because they talk about two ""locations"" : Census Tract 127 as a whole and smaller counties and villages. For minority community: Census Tract 127 would be considered minority populations but Boca Chica Village would not. For low-income: Therefore, Cameron and Willacy counties would be considered low-income populations, but Census Tract 127 would not be considered a low-income populations",NA,NA,NA,NA,NA,NA,NA
,8/21/2015,Stonewall Vegetation Project,Forest Service,no,No,No,No,No,,Bio Resource Use,Project,,NA,NA,NA,NA,NA,NA,NA
,12/16/2016,Stream Protection Rule,Office of Surface Mining Reclamation and Enforcement,no,Yes,Yes,Yes,Indeterminate,,Mineral Resource Extract,Program,Indeterminate because they just say becuase there are EJ communities impacts may disproportionately affect them more?,NA,NA,NA,NA,NA,NA,NA
,10/9/2020,"Sugar Camp Energy, LLC Mine Number 1 Boundary Revision 6",Tennessee Valley Authority,no,Yes,Yes,Yes,No,,Mineral Resource Extract,Project,,NA,NA,NA,NA,NA,NA,NA
,7/31/2020,"Summer Flounder Commercial Issues and Goals and Objectives Amendment: Amendment 21 to the Summer Flounder, Scup, and Black Sea Bass Fishery Management Plan",Department of Commerce,no,No Mention,No Mention,No Mention,No Mention of EJ,,Bio Resource Use,Policy,,NA,NA,NA,NA,NA,NA,NA
,11/22/2013,Summit Logan Valley Grazing Authorization Project,Forest Service,no,Indeterminate,Indeterminate,No,No,,Bio Resource Use,Project,"Low populations of minorities, poverty rates are 14-16%, but they do not distinguish thresholds. I said no to minority becuase that one almost always requires a 50% minority population, inteterminate for low income becuase that can vary. However, they do say they expect no disproportionate impacts.",NA,NA,NA,NA,NA,NA,NA
,1/25/2015,SunZia Southwest Transmission Project Proposed Resource Management Plan Amendments,Bureau of Land Management,no,Yes,Yes,Yes,Yes,"Standard mitigation measures would be implemented to mitigate impacts that could occur throughout the Project area. These measures include restricting vehicle access to limit disturbance of the ground surface and vegetation, requiring new access roads to follow the natural land contours as closely as possible, and attempting to use pre-existing access roads to the greatest degree possible; all of which help to prevent land-surface destabilization. Due to their universal application, standard mitigation measures were considered in the assessment of initial impact levels.",Energy Gen/Trans,Plan,,NA,NA,NA,NA,NA,NA,NA
,6/10/2016,Sweetheart Lake Hydroelectric Project Final Environmental Impact Statement,Federal Energy Regulatory Commission,no,No Mention,No Mention,No Mention,No mention of EJ,,Energy Gen/Trans,Project,,NA,NA,NA,NA,NA,NA,NA
,7/15/2016,Telegraph Vegetation Project,Forest Service,no,No,No,No,No,,Bio Rsrc Use,Project,,NA,NA,NA,NA,NA,NA,NA
,2/16/2018,Tenmile - South Helena Project,Forest Service,no,No,No,No,No,,Conservation/Restoration,Project,,NA,NA,NA,NA,NA,NA,NA
,7/16/2021,"Tier 1 Environmental Impact Statement and Preliminary Section 4(f) Evaluation for Interstate 11 Corridor between Nogales and Wickenburg, Arizona",Federal Highway Administration,no,Indeterminate,Indeterminate,Indeterminate,Indeterminate,,Transport.,Project,"Indeterminate because it says that there are minority and low-income communities and mentions them multiple times but they also say that there is no hard threshold for defining the populations? Additionally, they say disproportionate impacts may happen just becuase there is EJ communities. Very broad.",NA,NA,NA,NA,NA,NA,NA
,5/3/2019,Tonto National Forest Motorized Travel Management,Forest Service,no,Yes,Yes,No,Yes,"The plan would impact low income communities who depend on hunting and game for money, but because AZ Game and FIsh do not offer discounted rates they say there is nothing they can do.",Transport.,Plan,,NA,NA,NA,NA,NA,NA,NA
9th 20,1/13/2017,Transwest Express Powerline (TWE),Forest Service,no,Indeterminate,Indeterminate,Indeterminate,No,,Energy Gen/Trans,Project,They say that no impacts were found but they don't talk about population details or thresholds.,NA,NA,NA,NA,NA,NA,NA
,4/13/2018,Trout Creek,Forest Service,no,Indeterminate,Indeterminate,Indeterminate,No,,Conservation/Restoration,Project,^ same,NA,NA,NA,NA,NA,NA,NA
,11/3/2017,US 113 North/South Study Millsboro-South Area,Federal Highway Administration,no,Yes,Yes,Yes,No,,Transport.,Project,,NA,NA,NA,NA,NA,NA,NA
,5/16/2014,US Navy F-35C West Coast Homebasing,United States Navy,no,Yes,Yes,Yes,No,,Gov. Facilities,Project,,NA,NA,NA,NA,NA,NA,NA
,10/16/2014,Vail Mountain Recreation Enhancement Project,Forest Service,no,No,No,No,No,,Recreation,Project,,NA,NA,NA,NA,NA,NA,NA
,7/12/2013,Van Ness Bus Rapid Transit Project,Federal Transit Administration,no,No,No,No,No,,Transport.,Project,,NA,NA,NA,NA,NA,NA,NA
,9/15/2017,"Vista Grande Drainage Basin Improvement Project, Golden Gate National Recreation Area, San Francisco and San Mateo Counties",National Park Service,no,Indeterminate,Indeterminate,Indeterminate,No,,Water Works,Project,"They say that any impact would be minor or none at all, but they do not go into detail on EJ community populations, numbers, or thresholds.",NA,NA,NA,NA,NA,NA,NA
,8/22/2018,Walla Walla Basin Spring Chinook Hatchery Program,Bonneville Power Administration,no,No,No,No,No,,Conservation/Restoration,Project,They say no population meets the EJ criteria but they do note that there is the Umatilla Indian Reservation about ten miles west of the South Fork facility,NA,NA,NA,NA,NA,NA,NA
,7/30/2013,Water Transfer Program for the San Joaquin River Exchange Contractors Water Authority 2014-2038 To Execute Agreements for Water Transfers/or Exchanges San Joaquin Valley Fresno Madera Merced and Stanislaus Counties CA,Bureau of Reclamation,no,Yes,Yes,Yes,No,,Water Works,Program,,NA,NA,NA,NA,NA,NA,NA
,4/15/2016,Western Oregon Resource Management Plan,Bureau of Land Management,no,Yes,Yes,Yes,Yes,"They say it is difficult to define right now, but they would monitor impacts and re-evaluate.",Land Management Plan,Plan,Impacts were only found in low-income communities becuase the main impact is unemployment. ,NA,NA,NA,NA,NA,NA,NA
,4/24/2020,"Westminster, East Garden Grove, CA Flood Risk Management Study",U.S. Army Corps of Engineers,no,Yes,No,Yes,No,,Water Works,Project,,NA,NA,NA,NA,NA,NA,NA
,5/31/2013,Whisky Ridge Ecological Restoration Project,Forest Service,no,No Mention,No Mention,No Mention,No mention of EJ,,Conservation/Restoration,Project,,NA,NA,NA,NA,NA,NA,NA
,6/20/2014,Wolf Fuels and Vegetation Management Project,Forest Service,no,Indeterminate,Indeterminate,Indeterminate,No,,Conservation/Restoration,Project,"Says there is no impacts but do not talk about demographics, thresholds, etc about EJ communities",NA,NA,NA,NA,NA,NA,NA
,4/24/2020,NJ Transitgrid Traction Power System,Federal Transit Administration,no,No,No,No,No,,Energy Gen/Trans,Project,The project will not be near civilization,NA,NA,NA,NA,NA,NA,NA
,4/3/2020,North County Corridor New State Route 108 Project and Route Adoption,California Department of Transportation,no,Yes,No,Yes,No,,Transport.,Project,,NA,NA,NA,NA,NA,NA,NA
,12/7/2018,Northwest Colorado Greater-Sage Grouse Proposed Resource Management Plan Amendment and Final Environmental Impact Statement,Bureau of Land Management,"$169,000",Indeterminate,Indeterminate,Indeterminate,Indeterminate,,Land Management Plan,Plan,EJ was eliminated from further research,NA,NA,NA,NA,NA,NA,NA
,8/14/2015,"NUREG-1437, Generic Environmental Impact Statement for License Renewal of Nuclear Plants Supplement 46 Regarding Seabrook Station",Nuclear Regulatory Commission,no,Yes,Yes,Yes,No,,Energy Gen/Trans,Policy,,NA,NA,NA,NA,NA,NA,NA
,5/29/2015,Oregon Greater Sage-Grouse Proposed Land Use Plan Amendments,Bureau of Land Management,no,Yes,Yes,Indeterminate,No,,Bio Resource Use,Plan,"They mention a tribal population of 3% which is 3x the amount as the whole state, but since it is so small I'm not sure if it should count?",NA,NA,NA,NA,NA,NA,NA
,5/21/2018,"Otay River Estuary Restoration Project, South San Diego Bay Unit of the San Diego Bay National Wildlife Refuge, California; Final Environmental Impact Statement",Fish and Wildlife Service,no,Yes,Yes,Yes,No,,Conservation/Restoration,Project,,NA,NA,NA,NA,NA,NA,NA
,8/28/2020,Parley's Interchange; I-80/I-215 Eastside,Utah Department of Transportation,no,No,No,No,No,,Transport.,Project,,NA,NA,NA,NA,NA,NA,NA
10th (Final 18),9/18/2015,Pellissippi Parkway Extension (State Route 162) from State Route 33 (Old Knoxville Highway) to US 321/State Route 73/Lamar Alexander Parkway,Federal Highway Administration,no,Yes,Yes,Yes,Yes,noise barrier,Transport.,Project,A bigger impact than noise is displacement of people and they have no mitigation for that.,NA,NA,NA,NA,NA,NA,NA
,5/10/2019,Plaquemines LNG and Gator Express Pipeline Project,Federal Energy Regulatory Commission,no,Yes,Yes,Yes,No,,Energy Gen/Trans,Project,,NA,NA,NA,NA,NA,NA,NA
,5/15/2020,Pocasset River Flood Damage Reduction Project,Natural Resource Conservation Service,no,No,No,No,No,,Water Works,Project,,NA,NA,NA,NA,NA,NA,NA
,11/27/2017,Port of Gulfport Expansion Project,U.S. Army Corps of Engineers,no,No,No,No,No,,Water Works,Project,,NA,NA,NA,NA,NA,NA,NA
,8/7/2015,Prescott National Forest Revision of Land and Resource Management Plan,Forest Service,no,Yes,Yes,No,No,,Land Management Plan,Plan,,NA,NA,NA,NA,NA,NA,NA
,11/2/2018,Prince of Wales Landscape Level Analysis Project,Forest Service,no,Yes,Yes,Yes,No,,Land Management Plan,Project,,NA,NA,NA,NA,NA,NA,NA
,2/28/2020,Proposed East Smoky Panel Mine Project at Smoky Canyon Mine,Bureau of Land Management,no,No,No,No,No,,Mineral Resource Extract,Project,,NA,NA,NA,NA,NA,NA,NA
,12/20/2019,Reinitiation of Consultation on the Coordinated Long-Term Operation of the Central Valley Project and State Water Project,Bureau of Reclamation,no,Yes,Yes,No,Yes,"spill prevention, didn't necessarily see any mitigation specific to EJ, but there were mitigation measures for environmental harm",Water Works,Project,,NA,NA,NA,NA,NA,NA,NA
,9/20/2019,Revision of the Inyo National Forest Land and Resource Management Plan,Forest Service,no,Yes,Yes,No,No,,Land Management Plan,Plan,"They note that because there is little data on the EJ groups it is hard to determine if there will be adverse impacts, but they do not expect any.",NA,NA,NA,NA,NA,NA,NA
,5/8/2020,"Revisions to USDA-APHIS 7 CFR part 340 Regulations Governing the Importation, Interstate Movement, and Environmental Release of Certain Genetically Engineered Organisms",Animal and Plant Health Inspection Service,no,Indeterminate ,Indeterminate,Indeterminate,No,,Conservation/Restoration,Policy,Indeterminate becuase they say that there will be no impacts but do not define the EJ groups or go into any detail on demographics. ,NA,NA,NA,NA,NA,NA,NA
,9/5/2014,Rim Fire Recovery,Forest Service,no,No,No,No,No,,Conservation/Restoration,Project,"They do note that there is a higher proportion of Native Americans in the area in comparison to the state, but they don't explicitly count them as a minority community.",NA,NA,NA,NA,NA,NA,NA
,9/10/2021,Mid-Swan Landscape Restoration and Wildland Urban Interface Project,Department of Agriculture,no,No,No,No,No,,Conserv/Restr,Project,,NA,NA,NA,NA,NA,NA,NA
,9/17/2021,Extension of the Barry M. Goldwater Range Land Withdrawal and Proposed Gila Bend Addition Land Withdrawal,United States Air Force,no,Yes,Yes,Yes,Yes,noise: consult with public,Military Ops,Project,Action type: Gov Facilities?,NA,NA,NA,NA,NA,NA,NA
,9/24/2021,I-69 Ohio River Crossing Project,Federal Highway Administration,no,Yes,Yes,Yes,No,,Transport,Project,,NA,NA,NA,NA,NA,NA,NA
,9/24/2021,Fort Peck Dam Test Release,U.S. Army Corps of Engineers,no,Yes,Yes,Yes,No,,Water Works,Plan,,NA,NA,NA,NA,NA,NA,NA
,10/1/2021,Route 220 Martinsville Southern Connector Study,Federal Highway Administration,no,Indeterminate,Indeterminate,Indeterminate,No,,Transport,Project,Indeterminate becuase they say that there will be no impacts but do not define the EJ groups or go into any detail on demographics. ,NA,NA,NA,NA,NA,NA,NA
,10/1/2021,East 300 Upgrade Project,Federal Energy Regulatory Commission,no,No,No,No,No,,Energy Gen/Trans,Project,,NA,NA,NA,NA,NA,NA,NA
,10/1/2021,East Lateral Xpress Project,Federal Energy Regulatory Commission,no,Yes,Yes,Yes,No,,Energy Gen/Trans,Project,They note that there may be impacts but they are not particularly adverse and would be temporary .,NA,NA,NA,NA,NA,NA,NA
